"","date","SQ","PYPL","MA","V","index"
"1812",2023-02-01,-0.0140763602316607,-0.348548098246532,0.989768132935196,1.04606288538304,1.67320655984004
"1813",2023-02-02,0.0178922731722624,-0.327636331638939,1.02124097758002,1.05794574689268,1.76944266600602
"1814",2023-02-03,0.0839865138211839,-0.268000091384681,1.02901982314146,1.03486839797089,1.87987464354885
"1815",2023-02-06,0.0297673270896888,-0.289202235462237,1.01970354800995,1.04468509304167,1.80495373267907
"1816",2023-02-07,-0.00190340257787924,-0.336177747258987,1.01120189502332,1.03280183722651,1.70592258241296
"1817",2023-02-08,0.00733513230177563,-0.32292387779229,1.03010523056103,1.06517899759375,1.77969548266426
"1818",2023-02-09,-0.0227304314548376,-0.374613109808965,0.987507184376391,1.04589049652786,1.63605413964045
"1819",2023-02-10,-0.095362056005422,-0.39375516637495,0.988140317235444,1.03125192067353,1.5302750155286
"1820",2023-02-13,-0.109305519128023,-0.358709198671702,0.955669759081201,0.994226279967031,1.48188132124851
"1821",2023-02-14,-0.0859691389777186,-0.378588986396705,0.99184802012521,1.02315761021318,1.55044750496397
"1822",2023-02-15,-0.0569133912609308,-0.410833538791262,0.983979943538207,1.03194068512862,1.54817369861463
"1823",2023-02-16,0.000149690714587258,-0.401263996532779,0.981086079679595,1.02384636619336,1.60381814005477
"1824",2023-02-17,-0.0594079145762416,-0.418635734956683,0.962182628472626,0.97063705193065,1.45477603087035
"1825",2023-02-21,-0.112387994098898,-0.44910183468592,0.90408605746323,0.931562123290503,1.27415835196891
"1826",2023-02-22,-0.157453152744636,-0.440566732599062,0.857243963671793,0.880983922218964,1.14020800054706
"1827",2023-02-23,-0.142920057822512,-0.437034555527615,0.848266731287717,0.870667186535348,1.13897930447294
"1828",2023-02-24,-0.125158191082265,-0.441302497468256,0.853345114531464,0.889754941127906,1.17663936710885
"1829",2023-02-27,-0.0780442633022502,-0.465433331606955,0.831483585303297,0.862586983633347,1.15059297402744
"1830",2023-02-28,-0.110626590579932,-0.462196900682158,0.852891830745457,0.876341269177915,1.15640960866128
"1831",2023-03-01,-0.0872899338511979,-0.464697840836192,0.851168847666192,0.869291716205303,1.16847278918411
"1832",2023-03-02,-0.0887576456131804,-0.461461257098099,0.834931763394561,0.842134372683698,1.12684723336698
"1833",2023-03-03,-0.0680654010530295,-0.45734175668684,0.853707902289955,0.85416421869865,1.18246496324874
"1834",2023-03-06,-0.026397617085629,-0.425112602783775,0.907436073916094,0.93517637195847,1.39110222600516
"1835",2023-03-07,-0.0274244485012558,-0.41789977043589,0.956574406738975,0.986477592832559,1.49772778063439
"1836",2023-03-08,-0.0680654010530295,-0.445423001715953,0.893309631884891,0.924850618416686,1.3046718475326
"1837",2023-03-09,-0.0693861501474042,-0.431736211462852,0.885066768703017,0.907988606351251,1.29193301344401
"1838",2023-03-10,-0.130295804326029,-0.430411486503156,0.843459600833233,0.870495086395627,1.15324739639967
"1839",2023-03-13,-0.171252366102484,-0.46719867305763,0.776890112869631,0.804003255291611,0.942442329001128
"1840",2023-03-14,-0.194006630392005,-0.479260045029292,0.755056872006679,0.775341855801937,0.857132052387319
"1841",2023-03-15,-0.132791343514698,-0.469993656579519,0.828761188304399,0.847289730324516,1.0732659185347
"1842",2023-03-16,-0.126332526861089,-0.460137098233784,0.785709070014204,0.807952147974284,1.00719159289362
"1843",2023-03-17,-0.11136053497839,-0.453663384123375,0.78498197117732,0.826500031949117,1.04645808402467
"1844",2023-03-20,-0.127653576069484,-0.473671003540046,0.800067639273057,0.825469432250835,1.02421249191436
"1845",2023-03-21,-0.120020671656844,-0.470434933320581,0.796978556580452,0.838525877895803,1.04504882949883
"1846",2023-03-22,-0.0765767635898804,-0.418782972172956,0.844638827662652,0.903859661515502,1.25313875341532
